category	category-href	title
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	AFRAMER 90R.G - Haitian Creole
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	ENG-SCI 6 - Introduction to Environmental Science and Engineering
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	COMPLIT 399 - Reading and Research
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	SYSBIO 350 - Systems Biology Research
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	IMMUN 325L - Mechanisms of Peripheral Tolerance and their Breakdown in Allergic and Autoimmune Diseases
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	ITAL 11 - Beginning Italian II: The Art and Craft of Italy
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	MOD-HEB 120B - Intermediate Modern Hebrew II
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	SLAVIC 151 - Gogol
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	OEB 308 - Evolution of Floral Developmental Mechanisms
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	ANTHRO 3000 - Reading Course
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	TDM 91R - Supervised Reading and Research
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	COMPSCI 20 - Discrete Mathematics for Computer Science
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	PHYSICS 355B - Theory of Elementary Particles
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	SYSBIO 350 - Systems Biology Research
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	SLAVIC 301 - Reading and Research
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	CELLBIO 359 - Intracellular Signaling Pathways in the Regulation of Cell Growth and Differentiation
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	RELIGION 3002 - Foreign Language Certification
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	MATH MB - Introduction to Functions and Calculus II
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	"COMPSCI 324 - Human-Computer Communication through Natural, Graphical, and Artificial Languages"
Spring 2016-2017	https://courses.harvard.edu/search?fq_school_nm=school_nm%3A%22Faculty+of+Arts+and+Sciences%22&fq_term_desc=term_desc%3A%22Spring%202016-2017%22&q=&sort=course_title%20asc&start=0&rows=25	BCMP 359 - Molecular Mechanisms of Signal Transduction
